SNO,TIMESTAMP,MODULE NAME,TEST ID,RESULT
1,02_06_20__12_03_20,GPIO,GPIO_INTERNAL PULL UP TEST,FAIL
2,02_06_20__12_03_20,I2CMaster,I2C_MASTER_READ_WRITE TEST,FAIL
3,02_06_20__12_03_20,SMBUS SLAVE,SMBus Slave Hub Attach with SMBus Enabled,PASS
4,02_06_20__12_03_20,SMBUS SLAVE,SMBus_HUB_ATTACH TEST,PASS
5,02_06_20__12_03_20,SMBUS SLAVE,SMBus_SLAVE DATA ECHO  TEST,PASS
6,02_06_20__12_03_20,SMBUS SLAVE,SMBus_SLAVE_ADD_ACK TEST,PASS
7,11_03_21__10_32_38,GPIO,GPIO INPUT OUTPUT (EXTERNAL LOOP BACK) TEST,FAIL
8,11_03_21__10_32_38,GPIO,GPIO_INTERNAL PULL UP TEST,FAIL
9,11_03_21__10_32_38,I2CMaster,I2C_MASTER_READ_WRITE TEST,FAIL
10,12_11_19__11_35_06,DATA_TRANS,Hub_Enum_Basic_Test,FAIL
11,23_12_19__14_11_55,OTP,OTP_SEC_PGM_TEST,PASS
12,27_05_20__17_22_39,HFC_VSM_Commands,HFC_VSM_Get_Hub_Info,PASS
13,27_05_20__17_22_39,VSM_Commands,VSM_Get_Hub_Info,FAIL
14,27_12_19__15_38_46,Mini_Host,MH_B_002,
15,27_12_19__15_38_46,PWM,USB_PWM_CLAIM_RELEASE,FAIL
16,27_12_19__15_38_46,PWM,USB_PWM_CONFIGURE_BLINKING,PASS
17,27_12_19__15_38_46,PWM,USB_PWM_SYNC,PASS
